Vardas                           Pavarde       ND1       ND2       ND3       ND4       ND5      Egz.
Vardas1                         Pavarde1         8        10         4         9         1         3
Vardas2                         Pavarde2         5         9         4        10         1         6
Vardas3                         Pavarde3         3         3         8         4         8        10
Vardas4                         Pavarde4         1         3         4        10        10         8
Vardas5                         Pavarde5         1         4        10         9         7         6
Vardas6                         Pavarde6         8         7         3         8         1         4
Vardas7                         Pavarde7        10        10        10         2         8         3
Vardas8                         Pavarde8         4         7         6         6         9         2
Vardas9                         Pavarde9         5         8         2         4         9         5
Vardas10                       Pavarde10         9         1         5         7         1         4
Vardas11                       Pavarde11         3         7        10         5         2         4
Vardas12                       Pavarde12         8         9         9         4         9         2
Vardas13                       Pavarde13         6         4         6         5         4         7
Vardas14                       Pavarde14         6        10         6         5        10         2
Vardas15                       Pavarde15         8         6         6         5         2         9
Vardas16                       Pavarde16         9         4         6         3         3         7
Vardas17                       Pavarde17         7         8         9         5         2         8
Vardas18                       Pavarde18         2         9         8         9         8         8
Vardas19                       Pavarde19         5         5        10         2         6         6
Vardas20                       Pavarde20         6         9         3        10         9         3
Vardas21                       Pavarde21         1         8         5         9         6         9
Vardas22                       Pavarde22         4         1         7         3         3         6
Vardas23                       Pavarde23         3         3         8         2         6         3
Vardas24                       Pavarde24         2         2         1         2         9         8
Vardas25                       Pavarde25         7         1         1        10         6         7
Vardas26                       Pavarde26         3         9         6        10         5         4
Vardas27                       Pavarde27        10         1         6         7         4         7
Vardas28                       Pavarde28         4         1         9         5         1         5
Vardas29                       Pavarde29         7         5         7         5         4         9
Vardas30                       Pavarde30         5         1         1        10         4         8
Vardas31                       Pavarde31         6         8         3        10         8         6
Vardas32                       Pavarde32         7         6         4         1         5         9
Vardas33                       Pavarde33         6         6         6         5         3         2
Vardas34                       Pavarde34        10         3         5         6         9         7
Vardas35                       Pavarde35         3         6         2         4        10         8
Vardas36                       Pavarde36         4         8         6         1         3         2
Vardas37                       Pavarde37         9         8         2         6         6         9
Vardas38                       Pavarde38         6         7         8        10         5         2
Vardas39                       Pavarde39         7         2         3         1         5         5
Vardas40                       Pavarde40         6        10         8         6         4        10
Vardas41                       Pavarde41         1         6         6         7         4         3
Vardas42                       Pavarde42         7         9        10         2         5         9
Vardas43                       Pavarde43         9         8         2        10         4         2
Vardas44                       Pavarde44         2         5        10         6        10         1
Vardas45                       Pavarde45        10         4         5         1         8         6
Vardas46                       Pavarde46         8         6         1         7         5         8
Vardas47                       Pavarde47         9         5         1         1         7         3
Vardas48                       Pavarde48         5         8         5         2         9         6
Vardas49                       Pavarde49         9        10        10        10         4         4
Vardas50                       Pavarde50         8         8         4         3         6         7
Vardas51                       Pavarde51         4         5         1         7         1         5
Vardas52                       Pavarde52         1         6         7         9         6         4
Vardas53                       Pavarde53         8         7         9         7         8         2
Vardas54                       Pavarde54         9         5        10         8         4         2
Vardas55                       Pavarde55         1         3         4         8         2         9
Vardas56                       Pavarde56        10         4         8         5         9         1
Vardas57                       Pavarde57         5         1         6         8         1         1
Vardas58                       Pavarde58         6         7         8         9         1         7
Vardas59                       Pavarde59         6         8         4         5         4         1
Vardas60                       Pavarde60         5         9         8         6        10         6
Vardas61                       Pavarde61         4         3         8         4        10         8
Vardas62                       Pavarde62         8        10         6         4         4         4
Vardas63                       Pavarde63         9         6         9        10         7         1
Vardas64                       Pavarde64         5         3         4         4         8         1
Vardas65                       Pavarde65         1         2         1         4         1         1
